company,stage,country,longitude,latitude,precision
Tengyuan Cobalt & Copper Resources (TCC),source,Democratic Republic of the Congo,25.481988,-10.635985,exact_company
United States Strategic Metals,source,United States,-90.401034,38.009689,exact_company
Wanbao Mining,source,China,116.35222,39.885843,exact_company
Wanbao Mining,Smelting,China,116.35222,39.885843,exact_stage
Coral Bay Nickel Corporation,source,Philippines,117.425356,8.558386,exact_company
Harima Refinery,Refining,Japan,134.849089,34.718117,exact_stage
Sumitomo Metal Mining,Precursor manufacturing,Japan,133.237722,33.948997,exact_stage
Sumitomo Metal Mining,Cathode manufacturing,Japan,139.756184,35.663162,exact_stage
Niihama Nickel Refinery,Refining,Japan,133.259193,33.960026,exact_stage
Amperex Technology Limited (ATL),Battery pack manufacturing,Hong Kong,114.1074,22.373,exact_stage
CALB Tech,Battery pack manufacturing,China,119.612622,31.687593,exact_stage
Electra Battery Materials Corp,Refining,Canada,-79.659613,47.408513,exact_stage
Marubeni,Trading,Japan,139.77619,35.904485,exact_stage
China Molybdenum Co.,Refining,China,111.640336,33.787788,exact_stage
CATL (Contemporary Amperex Technology Co.),Battery pack manufacturing,China,119.564573,26.733286,exact_stage
B&M Science and Technology co.,Cathode manufacturing,China,117.0842,39.0738,exact_stage
Cosmo Chemical Co Ltd,Cathode manufacturing,South Korea,129.3465,35.4192,exact_stage
Hunan Shanshan Energy Technology Ltd,Cathode manufacturing,China,112.9007,28.2215,exact_stage
Pulead Technology Industry Co,Cathode manufacturing,China,116.299,40.2079,exact_stage
RiseSun MGL New Energy Technology Co Ltd,Cathode manufacturing,China,116.2371,40.1987,exact_stage
Taganito HPAL Nickel Corporation,source,Philippines,125.812274,9.539653,exact_company
Umicore S.A.,Smelting,Finland,23.051186,63.861931,exact_stage
"Hunan Yacheng New Materials Co.,Ltd.",Battery cell manufacturing,China,112.586028,28.319497,exact_stage
Jinchuan Technology,Battery cell manufacturing,China,102.180456,38.504813,exact_stage
"Shanshan Co., Ltd.",Battery cell manufacturing,China,121.458808,29.834874,exact_stage
Hunan Changyuan Lico Co,Cathode manufacturing,China,112.889095,28.216406,exact_stage
Ningbo Ronbay New Energy,Cathode manufacturing,China,121.166468,30.024353,exact_stage
"Jiangsu Tenpower Lithium Co., Ltd",Cathode manufacturing,China,120.568474,31.822591,exact_stage
MMG,source,Democratic Republic of the Congo,27.5666,-11.3692,exact_company
MMG,Smelting,Democratic Republic of the Congo,27.5666,-11.3692,exact_stage
China Minmetals,Precursor manufacturing,China,112.9007,28.2215,exact_stage
XTC New Energy Materials,Battery cell manufacturing,China,117.974886,24.469438,exact_stage
"Beijing Easpring Material Technology Co., Ltd.",Precursor manufacturing,China,116.285811,39.819007,exact_stage
Norilsk Nickel Harjavalta Oy,source,Finland,22.107272,61.325589,exact_company
Norilsk Nickel Harjavalta Oy,Smelting,Russia,88.210656,69.343447,exact_stage
Norilsk Nickel Harjavalta Oy,Refining,Finland,22.107272,61.325589,exact_stage
Ruashi Mining,source,Democratic Republic of the Congo,27.553953,-11.611245,exact_company
