node_id,name,bhrrc_id,bhrrc_link,company_type_tags,country_name,lat,location_precision,lon,role_tags
company::jv-company,JV Company,,,Battery producer;Electric car producer,China,30.3290199,exact,121.2571769,buyer;supplier
company::kai-peng-mining-sarl,Kai Peng Mining SARL,,,,Democratic Republic of the Congo,-10.964300751534802,exact,26.65943598110802,supplier
company::kambove-mining-sas,Kambove Mining SAS,,,,Democratic Republic of the Congo,-10.865596278960652,exact,26.61486215264135,supplier
company::kamilombe,Kamilombe,,,,Democratic Republic of the Congo,-10.7393158,exact,25.4077483,supplier
company::kamilombe2,Kamilombe2,,,,Democratic Republic of the Congo,-10.749680544257853,exact,25.378621131321474,supplier
company::kamoa-copper-s-a,Kamoa Copper S.A.,,,,Democratic Republic of the Congo,-10.886631446284182,exact,25.19748296657409,supplier
company::kamoto-copper-company,Kamoto Copper Company,,,,,,,,subsidiary
company::kamoto-copper-company-kcc,Kamoto Copper Company (KCC),927073,https://www.business-humanrights.org/en/companies/kamoto-copper-company/,Miner;Smelter,Democratic Republic of the Congo,-10.683129,exact,25.388308,buyer;supplier
company::karajipopo,Karajipopo,,,,Democratic Republic of the Congo,-10.941505980670097,exact,26.693161178615377,supplier
company::kasulo-cdm,Kasulo CDM,,,,Democratic Republic of the Congo,-10.701556077842246,exact,25.48891532688314,supplier
company::kawama-shabara,Kawama Shabara,,,,Democratic Republic of the Congo,-10.7408537,exact,25.8663187,supplier
company::kayebela,Kayebela,,,,Democratic Republic of the Congo,-10.64824976094095,exact,25.77559407968046,supplier
company::kimin-sas-kisanfu-mining-sas,KIMIN SAS (Kisanfu Mining SAS),,,Miner,Democratic Republic of the Congo,-10.77961725,exact,25.92813727,supplier
company::kisanfu-mine-kfm,Kisanfu mine (KFM),,,Miner,Democratic Republic of the Congo,-10.77961725,exact,25.92813727,supplier
company::ktm-ag,KTM AG,,,Electric car producer,Austria,48.09753585,exact,13.15890523,buyer
company::kuniko-ltd,Kuniko Ltd.,,,,Norway,60.070332389679855,exact,10.046645052040352,supplier
company::l-f,L&F,,,Cathode producer,South Korea,35.826254,exact,128.5156295,buyer;supplier
company::l-f-materials-co,L&F Materials Co.,,,,,,,,subsidiary
company::l-h-battery-company-inc,"L-H Battery Company, Inc.",,,,United States,39.653005,exact,-83.557792,buyer
company::la-compagnie-miniere-de-musonoie-global-sas-commus,La Compagnie Minière de Musonoie Global SAS (COMMUS),,,,Democratic Republic of the Congo,-10.72742607526749,exact,25.45651555007419,supplier
company::la-miniere-de-kalukundi-s-a-lamikal,La Minière de Kalukundi S.A. (LAMIKAL),,,,Democratic Republic of the Congo,-10.639793270322704,exact,25.986683209602017,supplier
company::la-miniere-de-kalumbwe-myunga-mkm-sas,La Minière de Kalumbwe Myunga (MKM SAS),,,,Democratic Republic of the Congo,-10.77765131,exact,25.9188068,supplier
company::la-societe-de-luilu-ressources-lcs,La Société de Luilu Ressources (LCS),,,,Democratic Republic of the Congo,-10.671023292373581,exact,25.35486904048847,buyer;supplier
company::lanzhou-jinchuan,Lanzhou Jinchuan,,,,,,,,subsidiary
company::leyou-new-energy-material-co-ltd,Leyou New Energy Material Co.Ltd,,,,,,,,joint_venture
company::lg-chem,LG Chem,761127,https://www.business-humanrights.org/en/companies/lg-chem/,Battery producer,South Korea,37.52797935,exact,126.9292863,buyer;parent;supplier
company::lg-chem-michigan,LG Chem Michigan,,,,,,,,subsidiary
company::lg-chem-wroclaw-energy-sp-z-o-o,LG Chem Wroclaw Energy Sp. z o.o,,,,,,,,subsidiary
company::lg-chemical-nanjing-information-electronic-materials-co-ltd,"LG Chemical (Nanjing) Information Electronic Materials Co., Ltd. / 乐金化学（南京）信息电子材料有限公",761127,https://www.business-humanrights.org/en/companies/lg-chem/,,,,,,subsidiary
company::lg-energy-solution-lges,LG Energy Solution (LGES),761127,https://www.business-humanrights.org/en/companies/lg-chem/,Battery producer;Cathode producer,South Korea,37.52675793172897,exact,126.92713998639883,buyer;supplier
company::lg-energy-solution-lges-wrocaw,LG Energy Solution (LGES) Wrocław,,,,,,,,subsidiary
company::li-cycle-holdings-corp,Li-Cycle Holdings Corp,,,,Canada,43.63978652,exact,-79.38039353,buyer;supplier
company::lime-neutron-holdings-inc,"Lime / Neutron Holdings, Inc.",764344,https://www.business-humanrights.org/en/companies/lime-neutron-holdings/,Electric car producer,USA,37.78834228,exact,-122.3996909,buyer
company::lohum-cleantech,Lohum Cleantech,,,Battery producer,India,28.42943513,exact,77.54947048,supplier
company::lualaba-copper-smelter,Lualaba Copper Smelter,,,Smelter,Democratic Republic of the Congo,-10.76589,exact,25.50571,buyer;supplier
company::luilu-ressources-sas-lr-sas,Luilu Ressources SAS (LR SAS),,,,Democratic Republic of the Congo,-10.668757242100611,exact,25.354874823569123,buyer
company::lyft-inc,Lyft Inc.,,,Electric car producer,USA,37.776583232247404,exact,-122.3920724318401,buyer
company::mahindra-electric,Mahindra Electric,,,,,,,,subsidiary
company::mahindra-electric-and-ssangyong,Mahindra Electric and SsangYong,,,,,,,,subsidiary
company::mahindra-genze,Mahindra GenZe,,,,,,,,subsidiary
company::mahindra-group,Mahindra Group,758261,https://www.business-humanrights.org/en/companies/mahindra-mahindra/,Battery producer;Electric car producer,India,12.8097361,exact,77.6615031,buyer;supplier
company::managem,Managem,943404,https://www.business-humanrights.org/en/companies/managem/,Miner,Morocco,30.517251742650846,exact,-6.9081247252920095,buyer;supplier
company::marubeni,Marubeni,758160,https://www.business-humanrights.org/en/companies/marubeni/,,Japan,35.904485342544625,exact,139.7761896444493,buyer;supplier
company::maubeuge-construction-automobile-mca,Maubeuge Construction Automobile (MCA),,,,,,,,subsidiary
company::maurituis-nankai,Maurituis Nankai,,,,Vietnam,21.024872340995415,exact,105.83571241472949,buyer
company::mechema,Mechema,,,,Taiwan,25.053936810116323,exact,121.1270916380903,buyer
company::menuiserie,Menuiserie,,,,Democratic Republic of the Congo,-10.68702992290802,exact,25.45238101333541,supplier
company::mercedes-benz,Mercedes-Benz,,,Battery producer;Electric car producer,Germany,51.2978657,exact,14.0965624,buyer;subsidiary;supplier
company::mercuria-energy-trading-sa,Mercuria Energy Trading SA,,,,Switzerland,46.204012719736,exact,6.1473702974334214,buyer
company::metal-mines-sarl,Metal Mines Sarl,,,,Democratic Republic of the Congo,-10.996090043210724,exact,26.787896608904003,buyer;supplier
company::metalkol-roan-tailings-reclamation-rtr,Metalkol Roan Tailings Reclamation (RTR),,,,Democratic Republic of the Congo,-10.63903978950147,exact,25.42522931074961,buyer;supplier
company::milele,Milele,,,,Democratic Republic of the Congo,-10.9017236,exact,26.1811976,supplier
